DYPT.BRANCH_NAM,DYPT.ACCEPT_DT,DYPT.ORDER_ID,DYPT.SN,DYPT.LAB_NAM_COMBINED,DYPT.MS
深圳,2024/03/23 14:36:55,2024032314365587677926550,1,"""咨询用户"",""高风险用户"",""高价值用户"",""本月截至当前使用总流量(10,50]"",""主套餐月租费(99,139]"",""上月超套语音费用(30,60]"",""上月超套流量费用(60,100]"",""上月折后ARPU在(0,30]"",""上月MOU在(0,30]""",移动服务→基础服务→资费套餐→全局流转→业务规则→对业务规定/流程不满→全局流转
深圳,2021/12/08 10:03:36,2021120810033675485156967,2,"""沉默反馈用户"",""黑名单用户"",""低价值用户"",""本月截至当前使用总流量(500,1000]"",""主套餐月租费(99,139]"",""上月超套语音费用(60,100]"",""上月超套流量费用(60,100]"",""上月折后ARPU在(0,30]"",""上月MOU在(30,60]""",套餐问题→用户反映套餐收费不明确→业务规则→流程不清晰，未得到及时响应
深圳,2023/09/08 20:49:03,2023090820490323584481942,3,"""沉默反馈用户"",""信用良好用户"",""低价值用户"",""本月截至当前使用总流量(0,10]"",""主套餐月租费(169,269]"",""上月超套语音费用(10,30]"",""上月超套流量费用(0,30]"",""上月折后ARPU在(50,100]"",""上月MOU在(60,100]""",网络问题→网络不稳定，无法正常上网→技术支持没有及时处理
深圳,2023/10/04 15:12:59,2023100415125927127320303,4,"""投诉用户"",""信用良好用户"",""中价值用户"",""本月截至当前使用总流量(250,500]"",""主套餐月租费(19,59]"",""上月超套语音费用(200,inf]"",""上月超套流量费用(0,30]"",""上月折后ARPU在(100,200]"",""上月MOU在(0,30]""",语音和流量问题→语音费用高，流量包不清晰→服务无法满足需求→用户希望改进
深圳,2024/06/09 19:18:52,2024060919185215526122516,5,"""投诉用户"",""信用良好用户"",""高价值用户"",""本月截至当前使用总流量(100,250]"",""主套餐月租费(59,99]"",""上月超套语音费用(10,30]"",""上月超套流量费用(60,100]"",""上月折后ARPU在(30,50]"",""上月MOU在(60,100]""",网络问题→网络不稳定，无法正常上网→技术支持没有及时处理
深圳,2023/04/01 04:24:25,2023040104242518631423204,6,"""投诉用户"",""信用良好用户"",""中价值用户"",""本月截至当前使用总流量(50,100]"",""主套餐月租费(19,59]"",""上月超套语音费用(100,200]"",""上月超套流量费用(60,100]"",""上月折后ARPU在(100,200]"",""上月MOU在(60,100]""",网络问题→网络不稳定，无法正常上网→技术支持没有及时处理
深圳,2022/11/12 17:19:57,2022111217195703227738539,7,"""投诉用户"",""黑名单用户"",""中价值用户"",""本月截至当前使用总流量(250,500]"",""主套餐月租费(19,59]"",""上月超套语音费用(60,100]"",""上月超套流量费用(30,60]"",""上月折后ARPU在(100,200]"",""上月MOU在(30,60]""",套餐问题→用户反映套餐收费不明确→业务规则→流程不清晰，未得到及时响应
深圳,2024/04/08 23:43:09,2024040823430926143846037,8,"""咨询用户"",""黑名单用户"",""中价值用户"",""本月截至当前使用总流量(100,250]"",""主套餐月租费(59,99]"",""上月超套语音费用(10,30]"",""上月超套流量费用(60,100]"",""上月折后ARPU在(30,50]"",""上月MOU在(30,60]""",语音和流量问题→语音费用高，流量包不清晰→服务无法满足需求→用户希望改进
深圳,2022/01/02 02:47:30,2022010202473012960863994,9,"""投诉用户"",""信用良好用户"",""中价值用户"",""本月截至当前使用总流量(0,10]"",""主套餐月租费(269,inf]"",""上月超套语音费用(100,200]"",""上月超套流量费用(30,60]"",""上月折后ARPU在(0,30]"",""上月MOU在(30,60]""",网络问题→网络不稳定，无法正常上网→技术支持没有及时处理
深圳,2022/01/28 21:38:46,2022012821384602098211819,10,"""咨询用户"",""黑名单用户"",""低价值用户"",""本月截至当前使用总流量(500,1000]"",""主套餐月租费(99,139]"",""上月超套语音费用(100,200]"",""上月超套流量费用(60,100]"",""上月折后ARPU在(200,inf]"",""上月MOU在(30,60]""",移动服务→基础服务→资费套餐→全局流转→业务规则→对业务规定/流程不满→全局流转
深圳,2022/09/11 09:06:57,2022091109065709526621534,11,"""沉默反馈用户"",""信用良好用户"",""中价值用户"",""本月截至当前使用总流量(0,10]"",""主套餐月租费(19,59]"",""上月超套语音费用(100,200]"",""上月超套流量费用(30,60]"",""上月折后ARPU在(0,30]"",""上月MOU在(60,100]""",移动服务→基础服务→资费套餐→全局流转→业务规则→对业务规定/流程不满→全局流转
